1234 O___;5566 ____;1778 XOO_;8377 OOO_;7782 XXXX;;;
1234 O___;5566 ____;1778 XOO_;8377 OOOO;7783 XXXX;;;
1234 O___;5566 ____;1778 XOO_;8377 XO__;7717 XO__;8781 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 XO__;7717 XOO_;7171 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 XO__;7717 XX__;8711 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 XO__;7717 XXXX;;;
1234 O___;5566 ____;1778 XOO_;8377 XOO_;2787 OOOO;7872 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 XOO_;2787 XXX_;4787 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 XOO_;2787 XXXX;;;
1234 O___;5566 ____;1778 XOO_;8377 XOOO;3787 OOOO;7873 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 XOOO;3787 XXXX;;;
1234 O___;5566 ____;1778 XOO_;8377 XX__;7177 XO__;8871 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 XX__;7177 XX__;8171 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 XX__;7177 XXXX;;;
1234 O___;5566 ____;1778 XOO_;8377 XXO_;2877 XOO_;8747 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 XXO_;2877 XOOO;8727 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 XXO_;2877 XXX_;4877 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 XXO_;2877 XXXX;;;
1234 O___;5566 ____;1778 XOO_;8377 XXOO;3877 XXXX;;;
1234 O___;5566 ____;1778 XOO_;8377 XXX_;8477 XXXX;;;
1234 O___;5566 ____;1778 XOO_;8377 XXXX;;;;
1234 O___;5566 ____;1778 XOOO;7781 OOOO;8177 XXXX;;;
1234 O___;5566 ____;1778 XOOO;7781 XOOO;8717 XXXX;;;
1234 O___;5566 ____;1778 XOOO;7781 XXOO;7871 XXXX;;;
1234 O___;5566 ____;1778 XOOO;7781 XXXX;;;;
